id,name,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,wine_category,taste_group,is_organic,bottled_volume,packaging_closing,container_type,category,sub_category,price,inventory,is_on_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
21976,Chateau les Peyroulets rósavín,frakkland,bergerac,bergerac,2013,12.5,,03,t,750.0,plast,flaska,rose,,2229.0,10,f,f,f,2015-04-01,t,f
21977,Chateau les Peyroulets rautt,frakkland,bergerac,bergerac,2012,12.0,,01M,t,750.0,korkur,flaska,red,,2292.0,12,f,f,f,2015-04-01,t,f
21978,Chateau les Peyroulets hvítt,frakkland,bergerac,bergerac,2013,12.0,,02L,t,750.0,plast,flaska,white,,2003.0,12,f,f,f,2015-04-01,t,f
21979,Quinta do Caleiro Reserva,portúgal,,douro,2010,13.0,tinta barroca,01M,f,750.0,,flaska,red,,2685.0,36,f,f,f,2015-05-01,t,f
21980,Drakkar,færeyjar,,,,37.5,,,f,700.0,skruf,flaska,strong,vodka,4990.0,24,f,f,f,2016-02-01,t,f
21982,Gancia Asti,ítalía,piemonte,asti,,7.5,,04S,f,200.0,f-korkur,flaska,bubbly,,475.0,96,f,f,f,2015-04-01,t,f
21983,Kinross Gin Premium Berry,spánn,,,,40.0,,,f,700.0,sk-sk,flaska,strong,gin,7849.0,0,f,f,f,2015-07-01,t,f
21986,Tempelier 2x33 cl fl m/glasi,belgía,,,,6.0,,61ÖL,f,660.0,crown,gjafaaskja,beer,,2299.0,0,f,f,f,2015-11-01,t,f
21987,Corsendonk 2x33 cl fl m/glasi,belgía,,,,7.5,,,f,660.0,crown,gjafaaskja,beer,,2199.0,12,f,f,f,2015-11-01,t,t
21989,Corsendonk Rousse,belgía,,,,8.0,,61ÖL,f,330.0,crown,flaska,beer,,749.0,0,f,f,f,2015-07-01,t,f
21990,Heritages Lirac,frakkland,,,2013,15.0,cinsault,01M,f,750.0,korkur,flaska,red,,2599.0,12,f,f,f,2015-04-01,t,f
21991,Heritages Rasteau,frakkland,rhone,cotes-du-rhone villages rasteau,2012,14.5,carignan,01M,f,750.0,korkur,flaska,red,,2948.0,18,f,f,f,2015-04-01,t,f
21992,Tiki Estate Pinot Gris,nýjasjáland,,marlborough,2014,13.5,pinot gris,02M,f,750.0,skruf,flaska,white,,2398.0,36,f,f,f,2016-04-01,t,f
21993,Chateau Liversan,frakkland,bordeaux,haut-medoc,2010,13.0,merlot,01M,f,750.0,korkur,flaska,red,,3399.0,12,f,f,f,2015-04-01,t,f
