id,name,supplier,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,grape,taste_group,is_organic,bottled_volume,seal,container,category,sub_category,goes_with,price,is_temp_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
1613,Joseph Drouhin Cote de Beaune,Bakkus ehf.,frakkland,bourgogne,cote de beaune,2012,13.0,pinot noir,01M,false,750.0,korkur,flaska,red,,"{D,G,J,T,Æ}",4698,false,false,false,2010-06-01,true,false
1616,Marques de Riscal Reserva,Bakkus ehf.,spánn,,rioja,2009,14.0,tempranillo,01M,false,1500.0,korkur,flaska,red,,"{E,F,L,T,Æ}",5999,false,false,false,2009-12-01,true,false
162,Pasqua Merlot delle Venezie,Rolf Johansen & Co ehf,ítalía,,venezie,2014,12.0,merlot,01L,false,1500.0,skrúftappi,flaska,red,,"{3,D,G,M,Y}",2900,false,false,false,2000-01-01,true,false
1620,Rosemount Shiraz Cabernet,Ölgerðin Egill Skallagríms ehf,ástralía,,south eastern australia,2013,13.0,shiraz,01M,false,750.0,skrúftappi,flaska,red,,"{D,F,J,M,Y}",2155,false,false,false,2013-11-01,true,false
1625,Gentil Hugel,Bakkus ehf.,frakkland,alsace,alsace ac,2013,12.5,,02L,false,750.0,korkur,flaska,white,,"{2,C,D,M,Y}",1999,false,false,false,2015-07-01,true,false
1632,Dalmore 12 ára,Bakkus ehf.,stórabretland,skotland,highland,,40.0,,,false,700.0,,flaska,strong,whisky,{},10299,false,false,false,2009-11-01,true,false
164,Riunite Lambrusco,Bakkus ehf.,ítalía,emilia-rom,emilia,,8.0,lambrusco,01LM,false,750.0,skrúftappi,flaska,red,,"{2,K,N,R,Y}",1198,false,false,false,2000-01-01,true,false
165,Riunite Lambrusco,Bakkus ehf.,ítalía,emilia-rom,emilia,,8.0,lambrusco,01LM,false,1500.0,skrúftappi,flaska,red,,"{2,K,N,R,Y}",2398,false,false,false,2000-01-01,true,false
1657,Koskenkorva,Globus hf,finnland,,,,37.5,,,false,500.0,skrúftappi,peli,strong,vodka,{},3799,false,false,false,2002-08-01,true,false
1660,Tempt Sixty Niner Strawberry Lime,HOB-vín ehf,danmörk,,,,4.5,,,false,330.0,,dós,cidersoda,cider,{},269,false,false,false,2013-04-01,true,false
1666,Belle Grove Shiraz,HOB-vín ehf,spánn,,,2013,13.0,shiraz,01M,false,750.0,skrúftappi,flaska,red,,"{A,D,K,P,Y}",1459,false,false,false,2012-07-01,true,false
